date,value
1900,58.494014766215855
1901,34.08468428060358
1902,22.05603097279201
1903,59.84957171607061
1904,21.588141751625535
1905,35.34576837253531
1906,44.57515623157806
1907,83.03701863401471
1908,31.360244321610754
1909,35.76704111384843
1910,22.464837988625973
1911,26.123012639627486
1912,86.58619704445472
1913,89.40804580140625
1914,49.369851088033315
1915,25.442467426323788
1916,47.50740858081883
1917,92.73769659175942
1918,70.51115187143546
1919,35.725176456313925
1920,60.64322538617919
1921,21.50448520091217
1922,64.45725006941174
1923,94.86986849555738
1924,92.02209395824387
1925,70.98285765262948
1926,15.906196395495398
1927,38.14403995225373
1928,28.53959799136412
1929,79.5328603684698
1930,61.655737425443036
1931,14.414423083253848
1932,64.8024691655738
1933,24.480351789930687
1934,56.833661077198606
1935,57.61404319934289
1936,71.96926745795353
1937,4.49577722510579
1938,1.5536867209430705
1939,5.3518417194972745
1940,86.1024596796198
1941,27.630312340054065
1942,45.61313307251436
1943,67.14214801842706
1944,68.28074985739198
1945,11.8712080318512
1946,50.37701355047295
1947,6.636554673949124
1948,71.42147006758192
1949,35.02756354872187
1950,39.538652183015465
1951,62.14357183886532
1952,81.07573043741002
1953,40.74615504740473
1954,8.480581010947574
1955,63.995812748685175
1956,57.56464177908749
1957,81.49418682619705
1958,91.73998428286798
1959,8.598250355624536
1960,12.269256574760234
1961,33.26306772896193
1962,17.27127313957688
1963,72.52964678856802
1964,19.74826637116598
1965,20.323464234448462
1966,8.807230741329409
1967,64.13386495006752
1968,20.152419861258373
1969,79.30982544528815
1970,0.2184864163099487
1971,52.58243443010575
1972,23.350521821338944
1973,24.225086130702955
1974,99.04737436690239
1975,74.70017060121133
1976,74.26642163976815
1977,52.30740927155657
1978,50.253113886525355
1979,14.3817082798696
1980,67.5784473054073
1981,18.98295550089122
1982,52.469552857406796
1983,58.097495252198605
1984,30.592016723032312
1985,8.385357987764053
1986,6.027905097649078
1987,24.083175125670977
1988,14.012552103311048
1989,18.150606009160143
1990,36.53357402341173
1991,82.53387961173388
1992,80.42998626644659
1993,61.77560689588093
1994,68.26232657833182
1995,45.78932849058231
1996,66.94838332973379
1997,33.489734487476476
1998,6.46026052148394
1999,54.90182385515947
2000,47.54795905845954
2001,28.980454756977014
2002,94.55746121685911
2003,51.186337841621295
2004,42.01115493560892
2005,52.67258204164644
2006,72.43776713353951
2007,83.4547032608614
2008,17.50823557486827
2009,32.31080378202811
2010,92.360002644311
2011,23.012334303207727
2012,56.415966477106764
2013,10.48303471541594
2014,63.4538311881804
2015,28.785383007134623
2016,32.03427464475026
2017,47.28420240518545
2018,43.067565807178184
2019,9.664262083509744
2020,72.33365549800399
2021,31.58544233492826
2022,83.93758829158948
2023,29.82950480002311
2024,63.936461274323484
2025,24.957273159087514
2026,88.58517997613919
2027,53.599361519877206
2028,34.966101611389824
2029,89.88857523809976
2030,14.950735580396767
2031,87.93722546062612
2032,29.42015584708313
2033,65.02531823806126
2034,31.017918989827088
2035,78.7390604853524
2036,34.61181961155968
2037,78.19759068780161
2038,76.32368001351733
2039,40.35028722266627
2040,99.36172191326787
2041,11.82364855534943
2042,42.32384619538625
2043,52.48551314020553
2044,19.665513575128823
2045,13.166267692558243
2046,24.70710485419916
2047,6.020534858765902
2048,77.81491238225549
2049,77.3893601379042
2050,21.993055631990277
2051,81.12273449012062
2052,87.20661592051862
2053,26.74038805557677
2054,37.283489304804185
2055,30.33091233285752
2056,28.3600491612922
2057,9.96492042854602
2058,28.349114653677667
2059,35.4893451458512
2060,80.09977188313162
2061,29.015563315542025
2062,68.48730035600985
2063,41.30132853446917
2064,20.689808676216437
2065,18.2191664309888
2066,25.08407060018709
2067,13.79673843092033
2068,99.3267609330734
2069,89.89484585873653
2070,33.49531059371162
2071,30.10932200307421
2072,6.593954949206582
2073,92.22545260234543
2074,64.45520343124223
2075,45.329168302722444
2076,36.501008853262306
2077,20.83578240949886
2078,43.57419049688445
2079,15.181118064911715
2080,41.85265463119809
2081,6.243136618684875
2082,80.11997536601851
2083,36.30355140474653
2084,94.19081661983756
2085,30.326555689243317
2086,87.41267189701713
2087,48.394601676254155
2088,80.66654374387163
2089,13.796980222813616
2090,56.505399824399284
2091,62.957406922396444
2092,91.47722551756452
2093,90.9000830581401
2094,17.855396083805775
2095,37.84422454773792
2096,61.972306107449526
2097,81.65104609235505
2098,46.391668607957406
2099,12.873238660019727
2100,39.035811547555
2101,46.71856409463728
